file	scope	extension	size_bytes
oxygen/code/O2_supply_demand_MAP/simulation/invivo/cin/invivo_cin_simulation.R	simulation	r	3826
oxygen/code/O2_supply_demand_MAP/simulation/invivo/functional_response/invivo_functional_response_simulation.R	simulation	r	11501
oxygen/code/O2_supply_demand_MAP/simulation/invivo/generate_invivo_simulation_outputs.R	simulation	r	11446
oxygen/code/O2_supply_demand_MAP/simulation/invivo/o2_supply_demand_map_invivo_simulation_utils.R	simulation	r	1322
oxygen/code/O2_supply_demand_MAP/simulation/invivo/o2/invivo_o2_simulation.R	simulation	r	2965
oxygen/code/O2_supply_demand_MAP/simulation/invivo/ploidy/invivo_ploidy_simulation.R	simulation	r	3657
oxygen/code/O2_supply_demand_MAP/simulation/invivo/population/invivo_population_simulation.R	simulation	r	22649
oxygen/code/O2_supply_demand_MAP/simulation/o2/dense_grid/generate_dense_grid_simulation_tables.R	simulation	r	10262
oxygen/code/O2_supply_demand_MAP/simulation/o2/fixed_o2/eigen_attractor/build_fixo2_eigen_attractor_features.R	simulation	r	38526
oxygen/code/O2_supply_demand_MAP/simulation/o2/fixed_o2/fixed_o2_numerical_producers.R	simulation	r	61308
oxygen/code/O2_supply_demand_MAP/simulation/o2/fixed_o2/fixed_o2_simulation_utils.R	simulation	r	1201
oxygen/code/O2_supply_demand_MAP/simulation/o2/fixed_o2/run_fixed_o2_simulation.R	simulation	r	64104
oxygen/code/O2_supply_demand_MAP/simulation/parameter_landscape/generate_parameter_landscape_simulation_tables.R	simulation	r	5563
oxygen/code/O2_supply_demand_MAP/simulation/parameter_landscape/parameter_landscape_invivo_feature_simulation.R	simulation	r	21442
oxygen/code/O2_supply_demand_MAP/simulation/parameter_landscape/parameter_landscape_simulation_utils.R	simulation	r	20864
oxygen/code/O2_supply_demand_MAP/simulation/perturbation/generate_factorial_interaction_outputs.R	simulation	r	22143
oxygen/code/O2_supply_demand_MAP/simulation/perturbation/generate_mixed_ploidy_perturbation_outputs.R	simulation	r	5559
oxygen/code/O2_supply_demand_MAP/simulation/process_fingerprints/generate_o2_ploidy_event_inputs.R	simulation	r	9488
oxygen/code/O2_supply_demand_MAP/simulation/process_fingerprints/generate_process_fingerprint_outputs.R	simulation	r	5455
oxygen/code/O2_supply_demand_MAP/simulation/process_fingerprints/ploidy_regime_simulation_utils.R	simulation	r	21424
oxygen/code/O2_supply_demand_MAP/simulation/process_fingerprints/process_fingerprint_simulation_legacy_utils.R	simulation	r	23209
oxygen/code/O2_supply_demand_MAP/simulation/process_fingerprints/process_fingerprint_simulation_utils.R	simulation	r	8398
oxygen/code/O2_supply_demand_MAP/simulation/simulate_invivo_factorial_interaction.R	simulation	r	2144
oxygen/code/O2_supply_demand_MAP/simulation/simulate_invivo_mixed_ploidy_perturbations.R	simulation	r	2051
oxygen/tests/check_immutable_o2_core.R	test	r	3844
oxygen/tests/check_o2_layer_boundaries.R	test	r	10136
oxygen/tests/run_o2_reorganization_regression.R	test	r	6249
oxygen/tests/run_unit_tests.R	test	r	1610
oxygen/tests/testthat/helper-oracle.R	test	r	3163
oxygen/tests/testthat/test-buffer-missegregation.R	test	r	9029
oxygen/tests/testthat/test-code-file-registry.R	test	r	3159
oxygen/tests/testthat/test-combined-fixo2-eigen-stage-split.R	test	r	7415
oxygen/tests/testthat/test-dense-combined-stage34-boundaries.R	test	r	8326
oxygen/tests/testthat/test-event-accounting.R	test	r	6787
oxygen/tests/testthat/test-fit-results-stage-split.R	test	r	10953
oxygen/tests/testthat/test-fixed-o2-stage34-boundaries.R	test	r	8343
oxygen/tests/testthat/test-invitro-defaults.R	test	r	486
oxygen/tests/testthat/test-invitro-stage2-boundaries.R	test	r	4978
oxygen/tests/testthat/test-invitro-utils-migration.R	test	r	26005
oxygen/tests/testthat/test-invivo-ploidy-regime-analysis.R	test	r	4681
oxygen/tests/testthat/test-invivo-process-analysis.R	test	r	9567
oxygen/tests/testthat/test-invivo-stage2-boundaries.R	test	r	4912
oxygen/tests/testthat/test-joint-coupling-report.R	test	r	14968
oxygen/tests/testthat/test-joint-coupling-stage-split.R	test	r	6298
oxygen/tests/testthat/test-joint-fixed-o2-ploidy-classification.R	test	r	5106
oxygen/tests/testthat/test-joint-ploidy-coupling-association.R	test	r	3106
oxygen/tests/testthat/test-joint-soft-coupling-stability.R	test	r	5012
oxygen/tests/testthat/test-joint-soft-coupling.R	test	r	22472
oxygen/tests/testthat/test-multi-warmup-eigen-stage-split.R	test	r	11969
oxygen/tests/testthat/test-necrosis-loss.R	test	r	5803
oxygen/tests/testthat/test-o2-upper-bound-contract.R	test	r	3326
oxygen/tests/testthat/test-parameter-landscape-stage3-boundaries.R	test	r	2979
oxygen/tests/testthat/test-path-migration-registry.R	test	r	2187
oxygen/tests/testthat/test-perturbation-stage-split.R	test	r	5114
oxygen/tests/testthat/test-process-fingerprint-stage-split.R	test	r	14439
oxygen/tests/testthat/test-profile-likelihood-stage-split.R	test	r	8763
oxygen/tests/testthat/test-report-consume-only-boundary.R	test	r	1914
oxygen/tests/testthat/test-report-image-lightbox.R	test	r	7092
oxygen/tests/testthat/test-stage2-postfit-orchestration.R	test	r	5502
oxygen/tests/testthat/test-stage5-util-consolidation.R	test	r	27983
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_bpf_cli_utils.R	util	r	1600
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_bpf_path_utils.R	util	r	4030
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_bpf_report_utils.R	util	r	804
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_bpf_table_io_utils.R	util	r	902
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_combined_fixo2_eigen_utils.R	util	r	2066
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_combined_landscape_utils.R	util	r	6411
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_common_semantics.R	util	r	20822
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_curve_classification_utils.R	util	r	25427
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_dense_grid_utils.R	util	r	7627
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_eigen_attractor_utils.R	util	r	5234
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fit_invitro_backend.R	util	r	26422
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fit_invivo_backend.R	util	r	198455
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fit_joint_backend.R	util	r	141524
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fit_results_utils.R	util	r	2898
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fixed_o2_format_utils.R	util	r	978
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fixed_o2_mode_utils.R	util	r	4660
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fixed_o2_table_utils.R	util	r	481
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fixed_o2_utils.R	util	r	21398
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fixed_o2_validation_utils.R	util	r	1068
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_html_utils.R	util	r	13048
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_io_utils.R	util	r	11428
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_lineage_simulation_utils.R	util	r	11740
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_lineage_utils.R	util	r	7286
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_objective_utils.R	util	r	27104
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_parameter_utils.R	util	r	1254
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_postfit_io_utils.R	util	r	5235
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_postfit_response_utils.R	util	r	6354
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_summary_utils.R	util	r	7801
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_utils.R	util	r	1766
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_joint_coupling_analysis_utils.R	util	r	21157
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_joint_parameter_plot.R	util	r	821
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_joint_parameter_utils.R	util	r	15467
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_joint_ploidy_category_utils.R	util	r	11410
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_multi_warmup_utils.R	util	r	6415
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_parameter_landscape_io_utils.R	util	r	17269
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_perturbation_utils.R	util	r	27892
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_ploidy_regime_utils.R	util	r	32318
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_postfit_input_utils.R	util	r	6980
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_postfit_probe_utils.R	util	r	3357
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_process_fingerprint_utils.R	util	r	26555
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_report_utils.R	util	r	7761
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_shared.R	util	r	29835
oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_shell_utils.sh	util	sh	6621
oxygen/code/O2_supply_demand_MAP/vis/combined_fixo2_eigen/plot_fixo2_eigen_attractor_embedding_curve_class.R	visualization	r	41505
oxygen/code/O2_supply_demand_MAP/vis/combined_parameter_landscape/render_combined_parameter_landscape_figures.R	visualization	r	6552
oxygen/code/O2_supply_demand_MAP/vis/dense_grid_monotonicity/render_dense_grid_figures.R	visualization	r	8728
oxygen/code/O2_supply_demand_MAP/vis/fit_results/plot_extra_results_objective_violin.R	visualization	r	2034
oxygen/code/O2_supply_demand_MAP/vis/fit_results/plot_extra_results.R	visualization	r	10583
oxygen/code/O2_supply_demand_MAP/vis/fit_results/plot_joint_sigma_soft_coupled_paired_seeds.R	visualization	r	9307
oxygen/code/O2_supply_demand_MAP/vis/fit_results/plot_sigma_burden_extra_results.R	visualization	r	10314
oxygen/code/O2_supply_demand_MAP/vis/fixed_o2_eigen/render_fixo2_eigen_attractor_figures.R	visualization	r	4987
oxygen/code/O2_supply_demand_MAP/vis/fixed_o2/fixed_o2_plot_utils.R	visualization	r	73734
oxygen/code/O2_supply_demand_MAP/vis/fixed_o2/render_fixed_o2_figures.R	visualization	r	11515
oxygen/code/O2_supply_demand_MAP/vis/interactions/plot_factorial_interactions.R	visualization	r	74959
oxygen/code/O2_supply_demand_MAP/vis/invitro/o2_supply_demand_map_invitro_diagnostic_plot_utils.R	visualization	r	7373
oxygen/code/O2_supply_demand_MAP/vis/invitro/o2_supply_demand_map_invitro_plot_utils.R	visualization	r	25783
oxygen/code/O2_supply_demand_MAP/vis/invivo/o2_supply_demand_map_invivo_plot_utils.R	visualization	r	63537
oxygen/code/O2_supply_demand_MAP/vis/joint_fixed_o2_ploidy_classification/plot_joint_fixed_o2_ploidy_curves.R	visualization	r	8895
oxygen/code/O2_supply_demand_MAP/vis/joint_ploidy_coupling_association/plot_joint_ploidy_categories.R	visualization	r	12301
oxygen/code/O2_supply_demand_MAP/vis/joint_ploidy_coupling_association/plot_ploidy_coupling_associations.R	visualization	r	8748
oxygen/code/O2_supply_demand_MAP/vis/joint_soft_coupling_stability/joint_coupling_visualization_utils.R	visualization	r	5462
oxygen/code/O2_supply_demand_MAP/vis/joint_soft_coupling_stability/plot_between_pair_soft_coupling.R	visualization	r	13262
oxygen/code/O2_supply_demand_MAP/vis/joint_soft_coupling_stability/plot_joint_coupling_overview.R	visualization	r	4570
oxygen/code/O2_supply_demand_MAP/vis/joint_soft_coupling_stability/plot_soft_coupling_processes.R	visualization	r	3997
oxygen/code/O2_supply_demand_MAP/vis/joint_soft_coupling_stability/plot_within_pair_soft_coupling.R	visualization	r	8204
oxygen/code/O2_supply_demand_MAP/vis/joint/o2_supply_demand_map_joint_parameter_plot_utils.R	visualization	r	7778
oxygen/code/O2_supply_demand_MAP/vis/joint/plot_invivo_invitro_comparison.R	visualization	r	16017
oxygen/code/O2_supply_demand_MAP/vis/joint/plot_joint_parameter_ratios.R	visualization	r	4163
oxygen/code/O2_supply_demand_MAP/vis/multi_warmup/render_multi_warmup_collected_figures.R	visualization	r	11290
oxygen/code/O2_supply_demand_MAP/vis/multi_warmup/render_multi_warmup_landscape_figures.R	visualization	r	20515
oxygen/code/O2_supply_demand_MAP/vis/multi_warmup/render_multi_warmup_report_figures.R	visualization	r	42791
oxygen/code/O2_supply_demand_MAP/vis/multi_warmup/render_multi_warmup_seed_plan_figures.R	visualization	r	11305
oxygen/code/O2_supply_demand_MAP/vis/multi_warmup/render_warm_up_joint_figures.R	visualization	r	10853
oxygen/code/O2_supply_demand_MAP/vis/o2_supply_demand_map_common_plot_utils.R	visualization	r	658
oxygen/code/O2_supply_demand_MAP/vis/parameter_landscape/parameter_landscape_visualization_utils.R	visualization	r	8588
oxygen/code/O2_supply_demand_MAP/vis/parameter_landscape/visualize_parameter_landscape.R	visualization	r	2384
oxygen/code/O2_supply_demand_MAP/vis/perturbation/plot_mixed_ploidy_perturbations.R	visualization	r	7020
oxygen/code/O2_supply_demand_MAP/vis/process_fingerprints/plot_invivo_ploidy_regimes.R	visualization	r	2737
oxygen/code/O2_supply_demand_MAP/vis/process_fingerprints/plot_invivo_process_fingerprints.R	visualization	r	5093
oxygen/code/O2_supply_demand_MAP/vis/process_fingerprints/plot_medium_o2_windows.R	visualization	r	3114
oxygen/code/O2_supply_demand_MAP/vis/process_fingerprints/plot_o2_ploidy_event_coupling.R	visualization	r	5417
oxygen/code/O2_supply_demand_MAP/vis/process_fingerprints/process_fingerprint_visualization_utils.R	visualization	r	9053
oxygen/code/O2_supply_demand_MAP/vis/profile_likelihood/plot_sigma_burden_live_effective_pms.R	visualization	r	7368
oxygen/code/O2_supply_demand_MAP/vis/viz_invitro_model_O2_supply_demand_MAP_results.R	visualization	r	81314
oxygen/code/O2_supply_demand_MAP/vis/viz_invivo_model_O2_supply_demand_MAP_results.R	visualization	r	9511
