file	layer	kind	purpose	inputs	outputs	function_count	functions	tests	lines
analysis/joint_ploidy_coupling_association/analyze_within_pair_ploidy_coupling.R	analysis	R entrypoint	Within-pair comparison of fitted in-vivo values, in-vitro values, and their	analysis tables/manifest	tables/data files	4	numeric_summary, kruskal_effect, analyze_within_pair_ploidy_coupling, main		105
analysis/joint_ploidy_coupling_association/classify_joint_ploidy_trajectories.R	analysis	R entrypoint	Classify materialized joint-fit mean chromosome trajectories into CatA/B/C/U.	materialized files or caller-supplied R objects	tables/data files	3	reclassify_from_features, classify_joint_ploidy_trajectories, main		257
analysis/joint_soft_coupling_stability/analyze_between_pair_soft_coupling.R	analysis	R entrypoint	Pair-balanced cross-pair stability analysis. A pair is the inferential unit;	analysis tables/manifest	tables/data files	3	estimate_icc, analyze_between_pair_soft_coupling, main		185
analysis/joint_soft_coupling_stability/analyze_within_pair_soft_coupling.R	analysis	R entrypoint	Within-pair ClassA/B/C stability analysis over independently fitted seeds.	analysis tables/manifest	tables/data files	7	summarize_groups, seed_similarity_summary, flag_rate, classb_direction_summary, boundary_projection_summary, analyze_within_pair_soft_coupling, main		234
analysis/joint_soft_coupling_stability/build_joint_soft_coupling_master_table.R	analysis	R entrypoint	Materialize and validate the pair x seed x parameter table used by all joint	configuration	tables/data files	2	build_joint_soft_coupling_master_table, main		168
analysis/joint_soft_coupling_stability/compare_joint_coupling_classification_versions.R	analysis	R entrypoint	Compare a threshold-sensitivity result with its materialized source version.	analysis tables/manifest; configuration	tables/data files	4	classification_text, value, compare_joint_coupling_classification_versions, main		149
analysis/joint_soft_coupling_stability/reclassify_joint_soft_coupling_master_table.R	analysis	R entrypoint	Reclassify an existing validated joint soft-coupling master table under a	analysis tables/manifest; configuration	tables/data files	3	reclassify_joint_soft_coupling_master_table, config_value, main		106
analysis/joint_soft_coupling_stability/summarize_soft_coupling_processes.R	analysis	R entrypoint	Map parameter-level ClassA/B/C stability onto audited biological processes.	analysis tables/manifest	tables/data files	2	summarize_soft_coupling_processes, main		52
analysis/multi_warmup/analyze_warm_up_joint_results.R	analysis	R library/module	Table-only extra analyses for joint multi-warmup fitting results. This module	best parameters; fit summary; configuration	tables/data files	41	local_script_dir, find_repo_root, is_finite_int, read_metric_map, metric_value, metric_num, order_seed_dirs, safe_id, default_input_root, default_output_root, default_invivo_curve_class_table, legacy_invivo_curve_class_table, stage_values, cli_args_from_list, source_env, file_command_args, load_parameter_landscape_utils, load_joint_backend_env, remap_path_value, remap_argv_paths, effective_args_file_for_seed, read_effective_argv, discover_pair_dirs, parse_pair_label, parse_pair_id_label, seed_id_from_value, resolve_invivo_curve_class_table, fill_missing_pair_metadata, export_pair_invivo_warmup_curve_class, read_best_param_vector, vector_row, decode_invivo_from_joint_vector, joint_initial_population_to_invivo, collect_output_param_names, build_prepare_outputs, seed_worker, parse_embedding_param_sets, embedding_param_config, build_embedding_outputs, build_summary_outputs, main	test-multi-warmup-eigen-stage-split.R	912
analysis/multi_warmup/build_joint_primary_cluster_pairs.R	analysis	R entrypoint	Canonical joint-pair entrypoint: in-vivo primary clusters to one in-vitro anchor.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			25
analysis/multi_warmup/build_multi_warmup_landscape_tables.R	analysis	R library/module	Table-only analysis for selecting multi-warmup pairs from already	best parameters; fit summary; parameter table; analysis tables/manifest	tables/data files	101	local_script_dir, default_project_root, default_result_root, default_invivo_parameter_table, default_invitro_parameter_table, metric_map, metric_value, metric_numeric, seed_from_dir, list_seed_dirs, read_best_params, invivo_parameter_transform_map, transform_param_slot, convert_symbol_parameter_table, convert_invitro_parameter_table, convert_invivo_parameter_table, read_param_table, read_np, sample_uniform_box, build_de_initialpop, inverse_transform_column, initial_population_natural, negative_metric_numeric, best_params_row, build_seed_parameter_tables, seed_space_best_names_path, seed_space_tasks_path, seed_space_shard_path, seed_space_final_paths, read_best_names_file, build_seed_space_tasks, task_row_by_id, run_seed_space_task, collect_seed_space_tables, umap_parameter_set, umap_log10_parameter_set, pooled_umap_parameter_set, pooled_umap_log10_parameter_set, transform_umap_features, drop_parameter_table_initial_rows, prepare_pooled_tables, read_best, read_initial, standardize_features, normalize_reduction, reduction_dir_name, reduction_coordinate_names, reduction_axis_labels, run_umap_embedding, run_tsne_embedding, run_reduction_embedding, build_pooled_plot_data, write_reduction_coordinate_table, relabel_clusters_by_embedding, single_cluster_assignment, auto_silhouette_kmeans, cluster_dataset_specs, summarize_best_clusters, best_seed_group_table, cluster_best_dataset, seed_key, load_pooled_best_feature_data, read_best, align_best_feature_rows, zscore_primary_features, subcluster_seed_group_table, summarize_best_subclusters, subcluster_zscore_feature_table, analyze_best_subclusters, analyze_embedding, seed_dir_lookup, selected_representatives, global_invitro_best_anchor, normalize_pairing_policy, row_scalar, cluster_token, warmup_label_for_pair, empty_manifest, manifest_row, build_manifest_from_representatives, landscape_analysis_root, landscape_cluster_output_dir, landscape_combined_table_dir, warmup_cross_validation_root, warmup_dense_grid_dir, landscape_input_tables_path, write_landscape_input_tables, read_key_value_table, table_value, curve_class_by_seed_path, read_curve_class_table, filter_invivo_summary_by_curve_class, finalize_landscape_pairs_core, write_seed_plan_mode, write_validation_summary, main, main_finalize_pairs, main_build_seed_space_tasks, main_run_seed_space_task, main_collect_seed_space_tables, dispatch_main	test-joint-primary-cluster-workflow.R, test-multi-warmup-eigen-stage-split.R	1976
analysis/multi_warmup/build_multi_warmup_pairs_from_landscape_subclusters.R	analysis	R entrypoint	Deprecated compatibility orchestrator for the historical landscape-pair CLI.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-multi-warmup-eigen-stage-split.R	18
analysis/multi_warmup/build_multi_warmup_seed_plan_tables.R	analysis	R library/module	Table-only seed-plan analysis.  Coordinate tables are materialized here;	best parameters; fit summary; analysis tables/manifest	tables/data files	30	validate_top_n, seed_integer, single_side_ratio_feature_cols, single_side_feature_cols, single_side_feature_sources, read_metric_map, metric_value, find_seed_dirs, read_seed_summary, read_best_params, read_top_seed_table, params_for_seed, single_side_ratio_features_for_seed, invivo_only_oxygen_features_for_seed, single_side_features_for_seed, build_pair_tables, build_single_side_feature_table, choose_k, umap_embedding, cluster_feature_table, cluster_means, representatives_from_clusters, parse_rank_list, auto_phase2_invitro_ranks, empty_manifest, write_seed_plan_mode, paired_profile_umap_coords, single_side_umap_coords, run_single_side_mode, main	test-multi-warmup-eigen-stage-split.R	580
analysis/multi_warmup/build_multi_warmup_seed_plan.R	analysis	R entrypoint	Deprecated compatibility orchestrator for the historical seed-plan CLI.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-multi-warmup-eigen-stage-split.R	18
analysis/multi_warmup/collect_multi_warmup_results.R	analysis	R entrypoint	Deprecated compatibility orchestrator for multi-warmup result collection.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-multi-warmup-eigen-stage-split.R	18
analysis/multi_warmup/collect_multi_warmup_tables.R	analysis	R library/module	Table-only collection and statistical diagnostics for completed multi-warmup	best parameters; fit summary; analysis tables/manifest	tables/data files	17	read_param_value_map, choose_k, best_seed_row, collect_parameter_ratios, add_final_log10_ratio, collect_deoptim_iterations, collect_invivo_only_warmstart_parameters, assign_final_basins, logical_col, read_warmup_profile_from_seed, read_final_profile_from_seed, scale_profile_matrices, profile_distance_matrix, assign_seed_final_basins, collect_initial_final_distance_diagnostics, find_valid_seed_dirs, main	test-multi-warmup-eigen-stage-split.R	665
analysis/multi_warmup/multi_warmup_results_report.R	analysis	R entrypoint	Deprecated compatibility orchestrator for the historical multi-warmup report.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-multi-warmup-eigen-stage-split.R, test-report-image-lightbox.R, test-stage5-util-consolidation.R	18
analysis/parameter_landscape_clustering/analyze_parameter_landscape.R	analysis	R entrypoint	Computes analysis tables for Analyze parameter landscape	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	o2pl_analysis_main	test-parameter-landscape-stage3-boundaries.R	70
analysis/parameter_landscape_clustering/clustering_analysis.R	analysis	R library/module	Deprecated compatibility entrypoint.  The runner now orchestrates the	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			17
analysis/parameter_landscape_clustering/clustering_report.R	analysis	R library/module	Deprecated compatibility entrypoint; report assembly lives under report/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-parameter-landscape-stage3-boundaries.R, test-report-image-lightbox.R	11
analysis/parameter_landscape_clustering/clustering_runner.R	analysis	R library/module	Deprecated compatibility entrypoint; orchestration lives under runner/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-multi-warmup-eigen-stage-split.R	14
analysis/parameter_landscape_clustering/dominant_ploidy_parameter_contribution_analysis.R	analysis	R library/module	Deprecated name retained for compatibility with existing job scripts.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			13
analysis/parameter_landscape_clustering/dominant_ploidy_parameter_contribution_report.R	analysis	R library/module	Deprecated compatibility entrypoint; report assembly lives under report/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-report-image-lightbox.R	11
analysis/parameter_landscape_clustering/dominant_ploidy_parameter_contribution_runner.R	analysis	R library/module	Deprecated compatibility entrypoint; orchestration belongs in runner/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			16
analysis/parameter_landscape_clustering/full_data_in_vivo_clustring.R	analysis	R library/module	Deprecated misspelled entrypoint retained for existing jobs.  Its pooled	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			17
analysis/parameter_landscape_clustering/mode_parameter_contribution_analysis.R	analysis	R library/module	Deprecated name retained for compatibility; the canonical analysis consumes	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			14
analysis/parameter_landscape_clustering/mode_parameter_contribution_report.R	analysis	R library/module	Deprecated compatibility entrypoint; report assembly lives under report/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-report-image-lightbox.R	11
analysis/parameter_landscape_clustering/mode_parameter_contribution_runner.R	analysis	R library/module	Deprecated compatibility entrypoint; orchestration belongs in runner/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			16
analysis/parameter_landscape_clustering/parameter_contribution_analysis.R	analysis	R entrypoint	Implements Parameter contribution analysis	materialized files or caller-supplied R objects	tables/data files	11	o2pl_contribution_target, o2pl_contribution_output_dir, o2pl_auc, o2pl_reference_response, o2pl_mode_main_effects, o2pl_mode_interactions, o2pl_continuous_main_effects, o2pl_continuous_interactions, o2pl_reference_contribution, o2pl_merge_contributions, o2pl_contribution_main	test-parameter-landscape-stage3-boundaries.R	240
analysis/parameter_landscape_clustering/parameter_landscape_analysis_utils.R	analysis	R library/module	Legacy warm-up API adapters retained for callers that still use the former	analysis tables/manifest	tables/data files	18	transform_umap_features, pooled_umap_parameter_set, pooled_umap_log10_parameter_set, prepare_feature_matrix, run_pca_embedding, run_umap_embedding, run_tsne_embedding, o2pl_materialized_feature_path, o2pl_read_materialized_features, o2pl_transform_features, o2pl_scale_features, o2pl_run_reduction, o2pl_silhouette_score, o2pl_cluster_coordinates, o2pl_embedding_rows, o2pl_analysis_output_prefix, o2pl_materialize_embedding, o2pl_materialize_pooled_embedding	test-stage5-util-consolidation.R	350
analysis/parameter_landscape_clustering/parameter_landscape_utils.R	analysis	R library/module	Historical loader retained for callers that source this path. The canonical	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	14
analysis/perturbation/analyze_mixed_ploidy_perturbations.R	analysis	R entrypoint	Derive endpoint analysis tables from pre-existing mixed-ploidy simulation	simulation tables/manifest; analysis tables/manifest	tables/data files	2	make_mixed_endpoint_summary, run_mixed_ploidy_perturbation_analysis	test-perturbation-stage-split.R	90
analysis/process_fingerprints/analyze_invivo_medium_o2_window_tables.R	analysis	R entrypoint	Computes analysis tables for Analyze invivo medium O2 window tables	simulation tables/manifest; analysis tables/manifest	tables/data files	14	mo2_mkdirs, mo2_parse_windows, mo2_interp_linear, mo2_segment_window_features, mo2_summarize_cohort, mo2_wide_metric, mo2_make_seed_features, mo2_wilcox_row, mo2_feature_tests, mo2_parameter_correlations, mo2_duration_summary_by_regime, mo2_safe_read, mo2_write_analysis_manifest, run_medium_o2_window_analysis	test-invivo-process-analysis.R, test-process-fingerprint-stage-split.R	368
analysis/process_fingerprints/analyze_invivo_medium_o2_windows.R	analysis	R entrypoint	COMPATIBILITY ORCHESTRATOR.  Canonical work is split across simulation,	simulation tables/manifest; analysis tables/manifest	in-memory values or layer-specific artifacts	1	main	test-process-fingerprint-stage-split.R	38
analysis/process_fingerprints/analyze_invivo_o2_ploidy_event_coupling_tables.R	analysis	R entrypoint	Computes analysis tables for Analyze invivo O2 ploidy event coupling tables	simulation tables/manifest; analysis tables/manifest	tables/data files	16	as_num_pair, auc_window, interp_value, grid_curve, slope_event, summarize_ploidy_one, summarize_o2_one, classify_seed, wide_metric, wilcox_row, event_safe_read, event_require_simulation, event_write_analysis_manifest, run_o2_ploidy_event_coupling_analysis, mean_pair, coupling_row	test-invivo-process-analysis.R, test-process-fingerprint-stage-split.R	440
analysis/process_fingerprints/analyze_invivo_o2_ploidy_event_coupling.R	analysis	R entrypoint	COMPATIBILITY ORCHESTRATOR.  Canonical work is split across simulation,	simulation tables/manifest; analysis tables/manifest	in-memory values or layer-specific artifacts	1	main	test-process-fingerprint-stage-split.R	38
analysis/process_fingerprints/analyze_invivo_ploidy_regimes.R	analysis	R entrypoint	Computes analysis tables for Analyze invivo ploidy regimes	simulation tables/manifest; analysis tables/manifest; configuration	tables/data files	12	o2pr_as_num_vec, o2pr_update_manifest_for_ploidy, o2pr_seed_qc_tables, o2pr_objective_by_regime, o2pr_write_fixed_summaries, o2pr_continuous_axis_tables, o2pr_require_simulation_tables, o2pr_cfg_from_metadata, o2pr_analyze_trajectories, o2pr_write_analysis_manifest, run_invivo_ploidy_regime_analysis_stage, read_sim	test-process-fingerprint-stage-split.R	300
analysis/process_fingerprints/analyze_invivo_process_fingerprints.R	analysis	R entrypoint	Computes analysis tables for Analyze invivo process fingerprints	simulation tables/manifest; analysis tables/manifest	tables/data files	14	o2ipa_bind_rows_fill, o2ipa_add_cluster_source, o2ipa_empty_module_centroids, o2ipa_module_centroids, o2ipa_parameter_scaled_distance, o2ipa_seed_qc_outputs, o2ipa_cluster_qc, o2ipa_leave_one_module_out, o2ipa_concordance, o2ipa_require_simulation_tables, o2ipa_parameter_outputs_from_simulation, o2ipa_write_analysis_manifest, run_invivo_process_fingerprint_analysis, read_sim	test-process-fingerprint-stage-split.R	367
analysis/process_fingerprints/analyze_ploidy_regimes.R	analysis	R library/module	Computes analysis tables for Analyze ploidy regimes	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-process-fingerprint-stage-split.R	11
analysis/process_fingerprints/build_invivo_process_fingerprints.R	analysis	R library/module	Computes analysis tables for Build invivo process fingerprints	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-process-fingerprint-stage-split.R	11
analysis/process_fingerprints/build_ploidy_regime_fingerprints.R	analysis	R library/module	Computes analysis tables for Build ploidy regime fingerprints	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-process-fingerprint-stage-split.R	11
analysis/process_fingerprints/cluster_invivo_process_fingerprints.R	analysis	R library/module	Implements Cluster invivo process fingerprints	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-process-fingerprint-stage-split.R	11
analysis/process_fingerprints/ploidy_regime_utils.R	analysis	R library/module	Backward-compatible thin loader for the canonical ploidy-regime utilities.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-invivo-ploidy-regime-analysis.R, test-invivo-process-analysis.R, test-process-fingerprint-stage-split.R, test-stage5-util-consolidation.R	39
analysis/process_fingerprints/process_fingerprint_utils.R	analysis	R library/module	Backward-compatible thin loader for the canonical process-fingerprint	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-invivo-ploidy-regime-analysis.R, test-invivo-process-analysis.R, test-process-fingerprint-stage-split.R, test-stage5-util-consolidation.R	39
analysis/process_fingerprints/run_invivo_ploidy_regime_analysis.R	analysis	R entrypoint	Compatibility orchestrator for the former monolithic ploidy-regime entry.	simulation tables/manifest; analysis tables/manifest	in-memory values or layer-specific artifacts	2	locate_process_workflow_root, main	test-process-fingerprint-stage-split.R	87
analysis/process_fingerprints/run_invivo_process_analysis.R	analysis	R entrypoint	Compatibility orchestrator for the former monolithic process-fingerprint	simulation tables/manifest; analysis tables/manifest	in-memory values or layer-specific artifacts	2	locate_process_workflow_root, main	test-invivo-process-analysis.R, test-process-fingerprint-stage-split.R	88
analysis/profile_likelihood/collect_profile_likelihood_results.R	analysis	R entrypoint	Rscript oxygen/code/O2_supply_demand_MAP/analysis/profile_likelihood/collect_profile_likelihood_results.R \	materialized files or caller-supplied R objects	tables/data files	10	resolve_path_value, read_required_tsv, write_table_tsv, escape_markdown_cell, data_frame_to_markdown, first_numeric_or_na, with_delta_from_metric, direction_profile_order, estimate_direction_ci_from_delta, main		532
analysis/profile_likelihood/compare_sigma_burden_live_effective_pms.R	analysis	R entrypoint	Analysis-only comparison of p_misseg and live-cell effective p_ms across	materialized files or caller-supplied R objects	tables/data files	10	locate_workflow_root, parse_sigma_caps, list_seed_dirs, build_task_manifest, validate_live_effective_contract, read_one_seed_summary, process_one_task, summarise_by_sigma, make_plot_table, main	test-profile-likelihood-stage-split.R	491
analysis/profile_likelihood/estimate_live_effective_pms.R	analysis	R entrypoint	Deprecated compatibility wrapper.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	main	test-profile-likelihood-stage-split.R	46
analysis/warm_up_joint_fitting_results_extra/warm_up_joint_fitting_results_extra.R	analysis	R entrypoint	Deprecated compatibility orchestrator for the historical warm-up joint extra	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-multi-warmup-eigen-stage-split.R	19
Docker/hpc/array_workers/run_fix_o2_simulation_array.sub	Docker	HPC shell entrypoint	Run one fixed-O2 simulation task from task_list.tsv, or one FixO2 analysis job.	simulation tables/manifest; analysis tables/manifest; configuration	Slurm jobs/logs	2	value, emit	test-stage5-util-consolidation.R	411
Docker/hpc/array_workers/run_fixo2_eigen_parameter_task.sub	Docker	HPC shell entrypoint	shellcheck source=../util/o2_supply_demand_map_apptainer_runtime.sh	materialized files or caller-supplied R objects	Slurm jobs/logs	0			31
Docker/hpc/array_workers/run_landscape_seed_space_task.sub	Docker	HPC shell entrypoint	Run one seed-space reconstruction task for the joint primary-cluster workflow.	materialized files or caller-supplied R objects	Slurm jobs/logs	0		test-stage5-util-consolidation.R	70
Docker/hpc/array_workers/run_multi_warmup_task_table_array.sub	Docker	HPC shell entrypoint	Run one row from a multi-warmup task table.	best parameters; fit summary; parameter table; configuration	Slurm jobs/logs	2	value, emit	test-invitro-passage-mode.R, test-stage5-util-consolidation.R	379
Docker/hpc/array_workers/submit_fit_seed_array_buffering.sub	Docker	HPC shell entrypoint	sbatch /path/to/repo/oxygen/code/O2_supply_demand_MAP/Docker/hpc/array_workers/submit_fit_seed_array_buffering.sub	configuration	Slurm jobs/logs	0		test-docker-runtime-wrappers.R, test-invitro-passage-mode.R	214
Docker/hpc/array_workers/submit_fit_seed_array_invitro_buffering.sub	Docker	HPC shell entrypoint	sbatch /share/lab_crd/lab_crd/taoli/Project/miningcloneid/oxygen/code/O2_supply_demand_MAP/Docker/hpc/array_workers/submit_fit_seed_array_invitro_buffering.sub	parameter table; configuration	Slurm jobs/logs	0		test-docker-runtime-wrappers.R, test-invitro-passage-mode.R	311
Docker/hpc/array_workers/submit_fit_seed_array_joint_buffering.sub	Docker	HPC shell entrypoint	sbatch oxygen/code/O2_supply_demand_MAP/Docker/hpc/array_workers/submit_fit_seed_array_joint_buffering.sub	parameter table; configuration	Slurm jobs/logs	0		test-docker-runtime-wrappers.R, test-invitro-passage-mode.R	401
Docker/hpc/best_fit_parameter_feature/submit_best_fit_parameter_feature.sh	Docker	HPC shell entrypoint	Submit the integrated best-fit-parameter feature workflows to Slurm.	materialized files or caller-supplied R objects	Slurm jobs/logs	0		test-dense-combined-stage34-boundaries.R, test-stage5-util-consolidation.R	321
Docker/hpc/dense_grid_monotonicity_classification/submit_dense_grid_monotonicity_classification.sh	Docker	HPC shell entrypoint	Submit dense-grid fixed-O2 monotonicity-classification workflows to Slurm.	configuration	Slurm jobs/logs	0		test-dense-combined-stage34-boundaries.R, test-stage5-util-consolidation.R	657
Docker/hpc/fix_o2_simulation/submit_fix_o2_simulation_array.sh	Docker	HPC shell entrypoint	Submit fixed-O2 workflow jobs through one Slurm entry point.	best parameters; simulation tables/manifest; analysis tables/manifest; configuration	Slurm jobs/logs	0		test-stage5-util-consolidation.R	807
Docker/hpc/fixo2_eigen_attractor/fixo2_eigen_attractor_hpc_task.R	Docker	R entrypoint	Implements Fixo2 eigen attractor hpc task	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	fixo2ea_hpc_main	test-multi-warmup-eigen-stage-split.R	107
Docker/hpc/fixo2_eigen_attractor/submit_fixo2_eigen_attractor_array.sh	Docker	HPC shell entrypoint	Submit FixO2 eigen-attractor feature computation as a Slurm array workflow.	materialized files or caller-supplied R objects	Slurm jobs/logs	0		test-stage5-util-consolidation.R	324
Docker/hpc/joint_coupling_analysis/run_joint_coupling_analysis.sub	Docker	HPC shell entrypoint	shellcheck source=../util/o2_supply_demand_map_apptainer_runtime.sh	materialized files or caller-supplied R objects	Slurm jobs/logs	0		test-joint-coupling-stage-split.R	38
Docker/hpc/joint_coupling_analysis/submit_joint_coupling_analysis.sh	Docker	HPC shell entrypoint	Submit the complete joint soft-coupling and ploidy-category analysis as one	materialized files or caller-supplied R objects	Slurm jobs/logs	0		test-joint-coupling-stage-split.R	88
Docker/hpc/parameter_landscape/submit_parameter_landscape_full.sh	Docker	HPC shell entrypoint	Submit the O2 parameter-landscape analysis as a Slurm dependency workflow.	best parameters; configuration	report/HTML; Slurm jobs/logs	0		test-stage5-util-consolidation.R	878
Docker/hpc/postprocess/postprocess_extra_results.sh	Docker	shell entrypoint	Run extra_results.R for one O2 result directory when the summary is missing.	fit result; configuration	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	143
Docker/hpc/postprocess/submit_rerender_joint_seed_reports.sh	Docker	HPC shell entrypoint	Re-render figures and HTML reports for existing joint-fit seed directories.	fit summary	Slurm jobs/logs	0		test-stage2-postfit-orchestration.R, test-stage5-util-consolidation.R	258
Docker/hpc/submit/build_multi_warmup_task_table.R	Docker	R entrypoint	hpc/submit/build_multi_warmup_task_table.R -> hpc -> O2_supply_demand_MAP -> code -> oxygen -> project	best parameters; fit summary; parameter table; configuration	tables/data files	22	parse_args, as_chr, as_int, as_bool, usage, read_tsv, write_tsv, abs_path, script_project_root, kv_map, first_existing_pair_manifest, setting, arg_value, apply_cli_settings, set_from_arg, spec_end, require_columns, make_task_status, row_value, build_tasks, job_match, main	test-invitro-passage-mode.R	423
Docker/hpc/submit/submit_multi_warmup_joint.sh	Docker	HPC shell entrypoint	Submit one joint array per selected multi-warm-up pair.	best parameters; fit summary; parameter table; configuration	report/HTML; Slurm jobs/logs	0		test-dense-combined-stage34-boundaries.R, test-invitro-passage-mode.R, test-stage5-util-consolidation.R	1062
Docker/hpc/submit/submit_multi_warmup_task_table.sh	Docker	HPC shell entrypoint	Submit a global Slurm array from multi_warmup_tasks.tsv.	best parameters; fit summary; parameter table; configuration	report/HTML; Slurm jobs/logs	0		test-stage5-util-consolidation.R	491
Docker/hpc/submit/submit_o2_fit.sh	Docker	HPC shell entrypoint	Unified O2 HPC submitter for in vivo, in vitro, and joint fitting.	best parameters; fit result; parameter table; configuration	Slurm jobs/logs	0		test-dense-combined-stage34-boundaries.R, test-invitro-passage-mode.R, test-joint-primary-cluster-workflow.R, test-stage5-util-consolidation.R	1439
Docker/hpc/util/o2_supply_demand_map_apptainer_runtime.sh	Docker	HPC shell entrypoint	Shared runtime for the Docker-image-backed Slurm scripts.	materialized files or caller-supplied R objects	figures	0		test-docker-runtime-wrappers.R	165
Docker/hpc/util/write_run_provenance.sh	Docker	shell entrypoint	shellcheck source=../util/o2_supply_demand_map_apptainer_runtime.sh	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	14
Docker/hpc/verify_hpc_parity.sh	Docker	HPC shell entrypoint	Implements Verify hpc parity	configuration	Slurm jobs/logs	0		test-docker-runtime-wrappers.R	59
Docker/hpc/warm_up_joint_fitting_results_extra/run_warm_up_joint_fitting_results_extra_hpc.sh	Docker	shell entrypoint	HPC wrapper for analysis/warm_up_joint_fitting_results_extra/warm_up_joint_fitting_results_extra.R.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	244
Docker/hpc/warm_up_joint_fitting_results_extra/submit_warm_up_joint_curve_array_hpc.sh	Docker	HPC shell entrypoint	Submit joint warm-up curve classification as a Slurm array workflow.	materialized files or caller-supplied R objects	Slurm jobs/logs	0		test-dense-combined-stage34-boundaries.R, test-stage5-util-consolidation.R	360
Docker/local/docker_runtime.sh	Docker	shell entrypoint	Shared Docker runtime for local fitting and analysis wrappers.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-docker-runtime-wrappers.R	80
Docker/local/run_full_analysis_docker.sh	Docker	shell entrypoint	shellcheck source=docker_runtime.sh	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-docker-runtime-wrappers.R	103
Docker/local/run_full_fit_docker.sh	Docker	shell entrypoint	shellcheck source=docker_runtime.sh	configuration	in-memory values or layer-specific artifacts	0		test-docker-runtime-wrappers.R	64
Docker/local/run_o2_fit_docker.sh	Docker	shell entrypoint	shellcheck source=docker_runtime.sh	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			28
Docker/local/run_postfit_docker.sh	Docker	shell entrypoint	shellcheck source=docker_runtime.sh	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			19
Docker/local/verify_environment.sh	Docker	shell entrypoint	shellcheck source=docker_runtime.sh	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			18
hpc/array_workers/run_fix_o2_simulation_array.sub	hpc	HPC shell entrypoint	Run one fixed-O2 simulation task from task_list.tsv, or one FixO2 analysis job.	simulation tables/manifest; analysis tables/manifest; configuration	Slurm jobs/logs	2	value, emit	test-stage5-util-consolidation.R	407
hpc/array_workers/run_fixo2_eigen_parameter_task.sub	hpc	HPC shell entrypoint	Implements Run fixo2 eigen parameter task	CLI/environment settings	Slurm jobs/logs	0			33
hpc/array_workers/run_landscape_seed_space_task.sub	hpc	HPC shell entrypoint	Run one seed-space reconstruction task for the joint primary-cluster workflow.	CLI/environment settings	Slurm jobs/logs	0		test-stage5-util-consolidation.R	66
hpc/array_workers/run_multi_warmup_task_table_array.sub	hpc	HPC shell entrypoint	Run one row from a multi-warmup task table.	best parameters; fit summary; parameter table; configuration	Slurm jobs/logs	2	value, emit	test-invitro-passage-mode.R, test-stage5-util-consolidation.R	375
hpc/array_workers/submit_fit_seed_array_buffering.sub	hpc	HPC shell entrypoint	sbatch /path/to/repo/oxygen/code/O2_supply_demand_MAP/hpc/array_workers/submit_fit_seed_array_buffering.sub	configuration	Slurm jobs/logs	0		test-docker-runtime-wrappers.R, test-invitro-passage-mode.R	221
